dataset,tool,author,auprc
omim,alphagenome,homebrew,0.4833
omim,borzoi,homebrew,0.4053
omim,borzoi_prime,homebrew,0.4933
omim,enformer,homebrew,0.3743
omim,chrombpnet,homebrew,0.2252
omim,gpn_msa,homebrew,0.6483
gwas,alphagenome,homebrew,0.2367
gwas,borzoi,homebrew,0.2177
gwas,borzoi_prime,homebrew,0.2222
gwas,enformer,homebrew,0.2203
gwas,chrombpnet,homebrew,0.1338
gwas,gpn_msa,homebrew,0.2079
omim,alphagenome,traitgym,0.4831
omim,borzoi,traitgym,0.4114
omim,enformer,traitgym,0.3795
omim,gpn_msa,traitgym,0.6487
gwas,alphagenome,traitgym,0.2367
gwas,borzoi,traitgym,0.2165
gwas,enformer,traitgym,0.2242
gwas,gpn_msa,traitgym,0.2081
